id,symptoms,vaidya_name,panchakarma,username,password,vaidya_description,Therapist_Name,Therapist_Password
1,"skin rashes, acidity",Vaidya Gopal Menon,Virechana,vaidya.gopal.menon,NGxX5KTt,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award.",Dr. Priya Reddy,voPOmYUs
2,"migraine, stuffy nose",Vaidya Nisha Bhat,Nasya,vaidya.nisha.bhat,yaYbaCIm,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.,Dr. Manish Agarwal,4T1JwZlC
3,stuffy nose,Vaidya Prasanjit,Nasya,prasanjit,Ayursutr@,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award.",Dr. Kavita Bansal,yxjWRVjn
4,"nose block, headache",Vaidya Deepak Shukla,Nasya,vaidya.deepak.shukla,20uR7EH0,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.,Dr. Neha Verma,wd4uOdfm
5,"gout, skin boils, ulcer",Vaidya Manohar Joshi,Raktamokshana,vaidya.manohar.joshi,iJrLqAx0,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.,Dr. Rohit Gupta,YLIGZPml
6,"blood impure, gout, skin boils",Vaidya Manohar Joshi,Raktamokshana,vaidya.manohar.joshi,6UbPD3SZ,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.,Dr. Pooja Nair,yJmAlU47
7,"sinus, headache, nose block",Vaidya Vivek Kulkarni,Nasya,vaidya.vivek.kulkarni,hlQQ3dyG,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.,Dr. Vivek Rao,nrUu170H
8,"cough, asthma",Vaidya Amit Deshmukh,Vamana,vaidya.amit.deshmukh,fJUHWbdT,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award.",Dr. Rajesh Mehta,TR5IOfU8
9,acidity,Vaidya Seema Verma,Virechana,vaidya.seema.verma,qhnoWNr0,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda.",Dr. Priya Reddy,SZmDl6Tc
10,obesity,Vaidya Neha Mehta,Vamana,vaidya.neha.mehta,HM0Zjg00,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health.",Dr. Priya Reddy,i64GqCLW
11,cold,Vaidya Rohan Iyer,Nasya,vaidya.rohan.iyer,ROs9BPRP,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities.",Dr. Sneha Iyer,15FzfAwR
12,"indigestion, joint pain, back pain",Vaidya Tarun Bhosale,Basti,vaidya.tarun.bhosale,EgwgpNYH,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.,Dr. Rohit Gupta,dPEfJfrp
13,"indigestion, joint pain",Vaidya Ritu Deshmukh,Basti,vaidya.ritu.deshmukh,gs5nRX0P,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.,Dr. Neha Verma,7ncSoXHU
14,arthritis,Vaidya Tarun Bhosale,Basti,vaidya.tarun.bhosale,EvKX9wW2,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.,Dr. Rohit Gupta,0jmy9QBD
15,"migraine, sinus",Vaidya Deepak Shukla,Nasya,vaidya.deepak.shukla,NSE7qGYe,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.,Dr. Manish Agarwal,NGOKd7jS
16,"inflammation, skin boils, blood impure",Vaidya Ashok Kulkarni,Raktamokshana,vaidya.ashok.kulkarni,Aa3Zrgtw,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda.",Dr. Karan Singh,0M8DIRbU
17,respiratory issue,Vaidya Sunil Patil,Vamana,vaidya.sunil.patil,z6nDvIpM,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award.",Dr. Suresh Pillai,8sJ4Dh5B
18,allergy,Vaidya Rohit Patil,Virechana,vaidya.rohit.patil,YF1FEXbf,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award.",Dr. Neha Verma,RPWmLbV9
19,"sinus, nose block, migraine",Vaidya Manisha Patil,Nasya,vaidya.manisha.patil,MY8g1nIq,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices.",Dr. Vivek Rao,mTaKRzRP
20,"bronchitis, obesity, cough",Vaidya Vinod Jadhav,Vamana,vaidya.vinod.jadhav,iM0sP2Cn,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma.",Dr. Kavita Bansal,z8x9tXeB
21,"eczema, acidity, psoriasis",Vaidya Tarun Bhosale,Virechana,vaidya.tarun.bhosale,Omhe4UIL,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda.",Dr. Rohit Gupta,m2QS4XHT
22,"bronchitis, obesity",Vaidya Vinod Jadhav,Vamana,vaidya.vinod.jadhav,MFggyBCg,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award.",Dr. Rohit Gupta,QCRHXSGI
23,"nose block, migraine, headache",Vaidya Rohan Iyer,Nasya,vaidya.rohan.iyer,OVBB4DLL,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities.",Dr. Neha Verma,rQCHWDoS
24,"respiratory issue, cough",Vaidya Vinod Jadhav,Vamana,vaidya.vinod.jadhav,pUI0icg1,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.,Dr. Ritu Malhotra,3GPMJeBW
25,blood impure,Vaidya Ashok Kulkarni,Raktamokshana,vaidya.ashok.kulkarni,tiP40Hc6,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness.",Dr. Aditi Sharma,65cNjKS6
26,cough,Vaidya Neha Mehta,Vamana,vaidya.neha.mehta,lAxQe7Zb,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.,Dr. Vivek Rao,bgbsz4P8
27,"sinus, cold, migraine",Vaidya Manisha Patil,Nasya,vaidya.manisha.patil,qve58Wj2,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.,Dr. Karan Singh,pJep0bTL
28,"eczema, skin rashes",Vaidya Anjali Nair,Virechana,vaidya.anjali.nair,eNNChDN5,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award.",Dr. Suresh Pillai,XE62EHtG
